Id,date,platform,title,News content,Label
1,2024-11-11,AJPalestine,"""حـ.ـزب الله"": مشاهد من عملية استهداف موقع ""أفيتال"" التابع لجيش العدو","""حـ.ـزب الله"": مشاهد من عملية استهداف موقع ""أفيتال"" التابع لجيش العدو الإسرائيلي في الجولان السوري المحتل بصواريخ ""ملاك1"" #فيديو #حرب_غزة",Real
2,2024-11-03,AJPalestine,عاجل | مؤسسة التأمين الوطني الإسرائيلية,عاجل | مؤسسة التأمين الوطني الإسرائيلية: - 902 من الإسرائيليين قتلوا في عملية طوفان الأقصى والحرب التي تلتها - 900 ضابط وجندي ورجل أمن قتلوا منذ عملية طوفان الأقصى والحرب التي تلتها - مجموع القتلى الإسرائيليين من مدنيين وعسكر ورجال أمن هو 1802,Real
3,2024-11-28,Misbar,مواقع إخبارية نشرت الصورة منذ أغسطس 2020 وقالت إن قنوات موالية لهيئة تحرير الشام,مواقع إخبارية نشرت الصورة منذ أغسطس 2020 وقالت إن قنوات موالية لهيئة تحرير الشام تداولتها على أنها لزيارة إلى جبهات جبل الزاوية في إدلب لتفقد مقاتليه خلال الاشتباكات بين المعارضة السورية وقوات النظام السوري التفاصيل,Fake
4,2024-11-09,AJPalestine,لابيد: قضاء 400 يوم في الجحيم في غزة يحطم القلب وعلى الحكومة وقف العبث,لابيد: قضاء 400 يوم في الجحيم في غزة يحطم القلب وعلى الحكومة وقف العبث السياسي وبذل كل جهد لإعادة المختطفين #الجزيرة,Real
5,2025-01-01,Misbar,يوثق مقطع الفيديو المتداول إعلان الأمين العام لفصيل أبو الفضل العباس العراقي أوس,يوثق مقطع الفيديو المتداول إعلان الأمين العام لفصيل أبو الفضل العباس العراقي أوس الخفاجي فتح باب التطوع للقتال في في السادس من ديسمبر 2024 أي قبل سقوط نظام بأيام تفاصيل أوفى,Fake
6,2024-12-28,Misbar,الفيديو يعود إلى السابع من أكتوبر عام 2023 ونشرته حسابات إسرائيلية على أنه لدمار,الفيديو يعود إلى السابع من أكتوبر عام 2023 ونشرته حسابات إسرائيلية على أنه لدمار وأضرار لحقت بشوارع جراء سقوط صواريخ لكتائب القسام الذراع العسكري لحركة حماس آنذاك للمزيد من التفاصيل,Fake
7,2024-11-02,AJPalestine,"""المقاومـ.ـة الإسلامية في العراق"": إطلاق طائرات مسيرة باتجاه أهداف حيو","""المقاومـ.ـة الإسلامية في العراق"": إطلاق طائرات مسيرة باتجاه أهداف حيوية في ""إيلات"" #فيديو #حرب_غزة",Real
8,2025-01-02,Misbar,من أجل مظاهرة تضامنية مع غزة نظمتها منصة الإرادة الوطنية على جسر غلطة في العاصمة,من أجل مظاهرة تضامنية مع غزة نظمتها منصة الإرادة الوطنية على جسر غلطة في العاصمة التركية بدعم من 400 منظمة غير حكومية في الأول من يناير 2025,Fake
9,2024-11-30,AJPalestine,كيف ساهم طوفان الأقصى في إعادة القضية الفلسطينية إلى الواجهة من جديد؟,كيف ساهم طوفان الأقصى في إعادة القضية الفلسطينية إلى الواجهة من جديد؟ حلقة #المقابلة على منصات #الجزيرة ومنصة #الجزيرة360 #شاهد | https://aj360.com/ajnow,Real
10,2024-11-14,AJPalestine,الجيش الإسرائيلي يعلن عن بدء المرحلة الثانية من العملية,الجيش الإسرائيلي يعلن عن بدء المرحلة الثانية من العملية البرية في #لبنان.. ما الهدف؟ #حرب_غزة #الأخبار,Real
11,2024-11-08,Misbar,ازدواجية المعايير الإسرائيلية تتهم إسرائيل الصحفي الفلسطيني بالإرهاب لتبرر قتله,ازدواجية المعايير الإسرائيلية تتهم إسرائيل الصحفي الفلسطيني بالإرهاب لتبرر قتله لكن كيف تتصرف مع الصحفي الإسرائيلي,Fake
12,2024-11-27,AJPalestine,عاجل | حركة حماس,عاجل | حركة حماس: العدو يكثف جرائم القتل على مدينة بيت لاهيا التي تتعرض لقصف عنيف ويحكم حصاره على المدينة لليوم الـ55,Real
13,2024-12-03,Misbar,مقاطع متداولة تزعم حرق الفلسطيني من قبل المعارضة السورية في مناطق انسحب منها وحل,مقاطع متداولة تزعم حرق الفلسطيني من قبل المعارضة السورية في مناطق انسحب منها وحلفاؤه وحسابات إسرائيلية تستغل المشاهد اكتشف حقيقتها مع,Fake
14,2024-12-19,Misbar,من ادعاءات شرطة الآداب إلى مزاعم إبادة الأقليات سقوط النظام السوري وفجأة سيطرة ا,من ادعاءات شرطة الآداب إلى مزاعم إبادة الأقليات سقوط النظام السوري وفجأة سيطرة المعارضة على فتحا أبواب التضليل والمعلومات المغلوطة ما ضاعف التوتر والذعر بين السوريين كيف يمكن أن يؤثر هذا التضليل على المشهد السوري والمرحلة الانتقالية اقرأ هنا,Fake
15,2024-11-25,AJPalestine,عاجل | هيئة البث الإسرائيلية,عاجل | هيئة البث الإسرائيلية: توقعات استنادا لمعلومات استخبارية بأن #حزب_الله يستعد لإطلاق صواريخ بشكل واسع النطاق,Real
16,2024-12-06,Misbar,يهدد بحرب أوسع بعد اتهام بخرق اتفاق وقف إطلاق النار في وقت تؤكد تقارير فرنسية خر,يهدد بحرب أوسع بعد اتهام بخرق اتفاق وقف إطلاق النار في وقت تؤكد تقارير فرنسية خروقات إسرائيلية متتالية أسفرت عن مقتل لبنانيين التفاصيل كاملة في مقال,Fake
17,2024-11-26,AJPalestine,مراسل #الجزيرة: شهداء وجرحى في استهداف تجمع لمواطنين بمخيم الشاطئ غربي,مراسل #الجزيرة: شهداء وجرحى في استهداف تجمع لمواطنين بمخيم الشاطئ غربي مدينة غزة #الأخبار #حرب_غزة,Real
18,2024-11-05,AJPalestine,عاجل | غالانت بعد إقالته,عاجل | غالانت بعد إقالته: أمن دولة إسرائيل كان وسيبقى رسالتي في الحياة,Real
19,2024-11-03,AJPalestine,عاجل | واللا,عاجل | واللا: المسيرة تواصل اختراقها للمجال الجوي الإسرائيلي وتتجه جنوبا,Real
20,2024-11-22,AJPalestine,"القسـ.ـام: - ""نفذنا قبل قليل عملية مركبة ضد جنود وآليات العدو قرب مفترق برج عوض بمدينة #رفح"" - ""است","القسـ.ـام: - ""نفذنا قبل قليل عملية مركبة ضد جنود وآليات العدو قرب مفترق برج عوض بمدينة #رفح"" - ""استهدفنا دبابة ميركافا أثناء محاولة نجدة الجنود عند مفترق برج عوض بمدينة #رفح"" - ""استهدفنا جرافة عسكرية صـ.ـهيونية في #رفح ورصد مجاهدونا هبوط مروحيات للإجلاء"" #الجزيرة",Real
21,2024-12-25,Misbar,الفيديو نشر في 18 أكتوبر الفائت قبل انطلاق عملية ردع العدوان وإسقاط نظام كما لم,الفيديو نشر في 18 أكتوبر الفائت قبل انطلاق عملية ردع العدوان وإسقاط نظام كما لم ترد أي أنباء عن تحديد مهلة من أي جهة داخل أو خارجها لتسليم قسد أسلحتها للمزيد,Fake
22,2024-11-10,Misbar,بسبب هتافات معادية للعرب وحرق علم فلسطين قبل المباراة اشتعل الشغب بين مشجعي الإس,بسبب هتافات معادية للعرب وحرق علم فلسطين قبل المباراة اشتعل الشغب بين مشجعي الإسرائيلي وأفراد من الجالية العربية في العاصمة الهولندية مسبار يكشف الحقيقة وراء الادعاءات المتداولة عبر المقال التالي,Fake
23,2024-11-03,AJPalestine,"عاجل | ""المقـ.ـاومة الإسـ.ـلامية في #العراق""","عاجل | ""المقـ.ـاومة الإسـ.ـلامية في #العراق"": ""هاجمنا هدفا حيويا في الجولان المحتل بالطائرات المسيرة""",Real
24,2024-11-12,AJPalestine,الـ.قـ.سام:,الـ.قـ.سام: - أجهزنا على قوة صـ.هـ.يونية من 7 جنود بقذيفة وأسلحة رشاشة وقنابل يدوية في بيت لاهيا شمالي قطاع غزة - استهدفنا دبابة ميركافا صـ.هـ.يونية بقذيفة الياسين 105 وأجهزنا على طاقمها وغنمنا منها رشاشا غرب مخيم جباليا,Real
25,2024-11-01,Misbar,الاحتلال يكسر حصار حماس على سكان ويحرص على تأمينهم وسط تضليل إسرائيلي مكثف يكشف,الاحتلال يكسر حصار حماس على سكان ويحرص على تأمينهم وسط تضليل إسرائيلي مكثف يكشف الحقيقة وراء قسوة التهجير القسري لسكان شمال القطاع وتعريض حياتهم للخطر بشكل مباشر اكتشفوا الحقيقة,Fake
26,2024-11-12,AJPalestine,عاجل | وزارة الصحة اللبنانية,عاجل | وزارة الصحة اللبنانية: 5 شهداء وجريحان في غارة للعدو الإسرائيلي على بعلشميه في جبل #لبنان,Real
27,2024-11-02,AJPalestine,عاجل | حزب الله,عاجل | حزب الله: قصفنا بثلاث رشقات صاروخية قوة إسرائيلية مؤللة عند تلة الخازن بمحيط بلدة حولا جنوبي لنبان,Real
28,2024-11-11,AJPalestine,عاجل | القناة 13 الإسرائيلية,عاجل | القناة 13 الإسرائيلية: نتنياهو قال في اجتماع مجلس الوزراء إنه رغم فوز ترمب فهناك حاجة للمناورة مع إدارة بايدن,Real
29,2024-11-09,AJPalestine,عاجل | مراسل #الجزيرة,عاجل | مراسل #الجزيرة: 5 شهداء وعدد من المصابين في قصف إسرائيلي على فلسطينيين في حي الشجاعية شرق مدينة غزة,Real
30,2024-11-02,AJPalestine,عاجل | الجبهة الداخلية الإسرائيلية,عاجل | الجبهة الداخلية الإسرائيلية: صفارات الإنذار تدوي في سديروت ومفلاسيم بغلاف غزة,Real
31,2024-11-12,AJPalestine,عاجل | الجبهة الداخلية الإسرائيلية,عاجل | الجبهة الداخلية الإسرائيلية: إطلاق صفارات الإنذار في شلومي وراس الناقورة ونهاريا وبلدات أخرى بالجليل الغربي,Real
32,2024-11-21,AJPalestine,مشهد مؤثر لأب يودع أبناءه الذين استشهدوا جراء الغارات الجوية الإسرائيل,مشهد مؤثر لأب يودع أبناءه الذين استشهدوا جراء الغارات الجوية الإسرائيلية على مدينة غزة #حرب_غزة #فيديو,Real
33,2024-11-07,AJPalestine,عاجل | مصادر للجزيرة,عاجل | مصادر للجزيرة: قوات الاحتلال تقتحم مدينة الظاهرية جنوب الخليل بالضفة الغربية,Real
34,2024-12-03,Misbar,الصراع السوري منذ أن عاد التصعيد في ٢٧ نوفمبر من العام الجاري انتشرت العديد من ا,الصراع السوري منذ أن عاد التصعيد في ٢٧ نوفمبر من العام الجاري انتشرت العديد من المنشورات المضللة حوله اكتشف في هذا الفيديو أبرزها,Fake
35,2024-11-16,AJPalestine,عاجل | وسائل إعلام إسرائيلية,عاجل | وسائل إعلام إسرائيلية: الجيش أقر سياسة هجومية تقضي بشن غارة كل ساعتين في #لبنان,Real
36,2024-11-13,AJPalestine,عاجل | الجيش الإسرائيلي,عاجل | الجيش الإسرائيلي: - مقتل ضابط و5 جنود وإصابة 4 في جنوب #لبنان - الجنود القتلى ينتمون للكتيبة 51 التابعة للواء غولاني #الجزيرة,Real
37,2024-11-18,AJPalestine,الجيش الإسرائيلي وإصابة ثلاثة آخرين في معارك شمال القطاع,"مقتل ضابط وجندي من لواء ""كْـفير"" في الجيش الإسرائيلي وإصابة ثلاثة آخرين في معارك شمال القطاع #الأخبار #حرب_غزة",Real
38,2024-11-14,AJPalestine,عاجل | نيويورك تايمز عن رئيس الائتلاف اليهودي الجمهوري,عاجل | نيويورك تايمز عن رئيس الائتلاف اليهودي الجمهوري: فريق ترمب بشأن الشرق الأوسط فريق أحلام حقيقي #الجزيرة,Real
39,2024-11-17,AJPalestine,قصف إسرائيلي يستهدف شبان يقومون بتأمين شاحنات المساعدات التي تدخل إلى,قصف إسرائيلي يستهدف شبان يقومون بتأمين شاحنات المساعدات التي تدخل إلى جنوبي قطاع غزة #حرب_غزة #فيديو,Real
40,2024-11-16,AJPalestine,عاجل | وزير الخارجية الإيراني,عاجل | وزير الخارجية الإيراني: إذا أصدر مجلس وكالة الطاقة الذرية قرارا ضدنا فسنتخذ إجراءات مضادة تشمل برنامجنا النووي,Real
41,2024-11-04,AJPalestine,عاجل | مدير مستشفى كمال عدوان للجزيرة,عاجل | مدير مستشفى كمال عدوان للجزيرة: كل المساعدات التي تحاول منظمة الصحة العالمية إدخالها تستهدف,Real
42,2024-12-03,Misbar,المقاطعة من أجل أهل غزة وأهل غزة غير مقاطعين اضطرارية سكان لاستهلاك ما هو متاح ف,المقاطعة من أجل أهل غزة وأهل غزة غير مقاطعين اضطرارية سكان لاستهلاك ما هو متاح في الأسواق تجعلهم موضع اتهام بعدم الالتزام في حملات ما يستغل لتقويض صدقية الحملة ما حقيقة الأمر وما أحدث نتائج المقاطعة اقرأ هنا,Fake
43,2024-12-22,Misbar,كشف أن الصورة لأحد عناصر كتائب القسام الذين قضوا في السابع من أكتوبر 2023 ويدعى,كشف أن الصورة لأحد عناصر كتائب القسام الذين قضوا في السابع من أكتوبر 2023 ويدعى أحمد أبو هدة من مدينة خان يونس جنوبي قطاع اقرأ أكثر,Fake
44,2024-11-23,Misbar,تعود الصورة إلى 25 مارس عام 2019 وتوثق إطلاق مروحية إسرائيلية قنابل ضوئية على قط,تعود الصورة إلى 25 مارس عام 2019 وتوثق إطلاق مروحية إسرائيلية قنابل ضوئية على قطاع خلال غارات شنتها قوات الاحتلال على مناطق قالت إنها أهداف تابعة لحركة حماس تفاصيل أكثر,Fake
45,2024-12-27,Misbar,نفت والدة الفتاة وستة مصادر مطلعة لمسبار الأنباء المتداولة عن إصابة الشابة حنين,نفت والدة الفتاة وستة مصادر مطلعة لمسبار الأنباء المتداولة عن إصابة الشابة حنين عكاري أو مقتلها خلال تظاهرة في مدينة السورية للتفاصيل,Fake
46,2024-11-04,AJPalestine,عاجل | القناة 12 الإسرائيلية,عاجل | القناة 12 الإسرائيلية: الشاباك اعتقل ضابطا برتبة رفيعة في الجيش أثناء إجازته في إطار قضية التسريبات عاجل | واللا: جهاز الشاباك يعتقل مشتبها فيه خامسا في إطار التحقيق بقضية تسريب الوثائق من ديوان نتنياهو,Real
47,2024-11-11,AJPalestine,عاجل | مراسل #الجزيرة,عاجل | مراسل #الجزيرة: غارة إسرائيلية عنيفة على محيط المستشفى المعمداني بمدينة غزة,Real
48,2024-11-25,AJPalestine,عاجل | الناطق باسم الدفاع المدني بغزة للجزيرة,عاجل | الناطق باسم الدفاع المدني بغزة للجزيرة: القطاع يشهد ظروفا مأساوية تزداد صعوبة مع سقوط الأمطار,Real
49,2024-11-20,Misbar,هيومن رايتس ووتش تدعو إلى إدانة إسرائيل علنا باعتبار ممارساتها في جرائم حرب وجرا,هيومن رايتس ووتش تدعو إلى إدانة إسرائيل علنا باعتبار ممارساتها في جرائم حرب وجرائم ضد الإنسانية وأميركا تقول لا يمكن يكشف عددا من الجرائم التي ثبت ارتكابها من قبل إسرائيل في قطاع غزة والتي تفند المزاعم الأميركية اقرأ عبر الرابط,Fake
50,2024-11-10,AJPalestine,عاجل | تايمز أوف إسرائيل عن استطلاع لمعهد الديمقراطية ا,عاجل | تايمز أوف إسرائيل عن استطلاع لمعهد الديمقراطية الإسرائيلي: الإسرائيليون منقسمون بعمق إزاء الحرب ضد #حزب_الله,Real
51,2024-12-09,Misbar,الفيديو نشر منذ فبراير 2018 على أنه يوثق لحظة مؤثرة لأم فلسطينية تستقبل ابنها ال,الفيديو نشر منذ فبراير 2018 على أنه يوثق لحظة مؤثرة لأم فلسطينية تستقبل ابنها الذي أمضى 20 عاما في الأسر وفقا لمنصات التواصل الاجتماعي كان الابن قد دخل السجن بعمر 18 عاما وخرج منه بعمر 38 عاما اقرأ أكثر,Fake
52,2024-11-11,AJPalestine,عاجل | مراسل #الجزيرة,عاجل | مراسل #الجزيرة: 3 شهداء وعدد من المصابين في قصف إسرائيلى على منزل وسط مخيم النصيرات وسط قطاع غزة,Real
53,2024-11-04,AJPalestine,عاجل | هيئة البث الإسرائيلية,عاجل | هيئة البث الإسرائيلية: ارتفاع عدد المعتقلين في قضية التسريبات إلى 5 بعد اعتقال عسكري رابع برتبة رفيعة,Real
54,2024-12-18,Misbar,ادعاءات زائفة وتصريحات مغلوطة حول موقف من الاحتلال الإسرائيلي تزامنت مع إعلان إس,ادعاءات زائفة وتصريحات مغلوطة حول موقف من الاحتلال الإسرائيلي تزامنت مع إعلان إسرائيل نشر قواتها في المنطقة العازلة على الحدود مع واستعدادها لإقامة علاقات حسن جوار يقدم لكم حقيقة هذه الادعاءات في المقال التالي,Fake
55,2024-11-11,AJPalestine,شهداء ومصابون بعد قصف مدفعي وجوي في منطقة تبة النويري غرب مخيم النصيرا,شهداء ومصابون بعد قصف مدفعي وجوي في منطقة تبة النويري غرب مخيم النصيرات ومناشدات للإسعاف.. التفاصيل مع مراسل #الجزيرة أشرف أبو عمرة #حرب_غزة #الأخبار,Real
56,2024-11-30,Misbar,يعود مقطع الفيديو إلى نوفمبر عام 2020 وهو لاشتباكات عشائرية دارت في منطقة كرمة ب,يعود مقطع الفيديو إلى نوفمبر عام 2020 وهو لاشتباكات عشائرية دارت في منطقة كرمة بقرية الماجدية الواقعة في محافظة البصرة العراقية إليك التفاصيل,Fake
57,2024-11-07,AJPalestine,"""فلسطين حرة"".. جماهير نادي باريس سان جيرمان ترفع لافتة داعمة لفلسطين و","""فلسطين حرة"".. جماهير نادي باريس سان جيرمان ترفع لافتة داعمة لفلسطين ولبنان خلال مباراة فريقهم أمام نادي أتلتيكو مدريد الإسباني #الجزيرة #فيديو",Real
58,2024-11-28,AJPalestine,كيف سينعكس قبول حزب الله باتفاق وقف إطلاق النار في #لبنان على الحرب في,كيف سينعكس قبول حزب الله باتفاق وقف إطلاق النار في #لبنان على الحرب في قطاع #غزة؟ #حرب_غزة #مسار_الأحداث,Real
59,2024-11-27,Misbar,نشرت الصورة في 23 سبتمبر الفائت وتظهر طفلة ترفع إشارة النصر أثناء نزوحها في بلدة,نشرت الصورة في 23 سبتمبر الفائت وتظهر طفلة ترفع إشارة النصر أثناء نزوحها في بلدة الصرفند خلال الأزمة الخانقة بسبب موجة النزوح جراء القصف الإسرائيلي الذي استهدف مناطق للمزيد,Fake
60,2024-11-04,AJPalestine,أصوات من غزة| نذر مجاعة في جنوب قطاع غزة تلوح في الأفق حيث العدد الأكب,أصوات من غزة| نذر مجاعة في جنوب قطاع غزة تلوح في الأفق حيث العدد الأكبر من النازحين والأهالي #الأخبار #حرب_غزة,Real
61,2024-11-19,AJPalestine,مراسل #الجزيرة أنس الشريف عن حال أهالي قطاع غزة وخاصة المحاصرين في شما,"مراسل #الجزيرة أنس الشريف عن حال أهالي قطاع غزة وخاصة المحاصرين في شماله: ""والله نحن نموت.. نموت جوعا وقصفا وحرقا، والآن نموت بردا وغرقا"" #الجزيرة",Real
62,2024-11-30,AJPalestine,الرئيس التركي رجب طيب أردوغان: إننا نعمل لمد يد العون لأشقائنا في غزة,الرئيس التركي رجب طيب أردوغان: إننا نعمل لمد يد العون لأشقائنا في غزة ولبنان، فتركيا إحدى الدول الأكثر تقديما للمساعدات إلى فلسطين #الجزيرة,Real
63,2024-11-16,AJPalestine,عاجل | هيئة عائلات الأسرى الإسرائيليين,عاجل | هيئة عائلات الأسرى الإسرائيليين: الآلاف يتظاهرون في عشرات المواقع في إسرائيل للمطالبة بصفقة,Real
64,2024-12-26,Misbar,نشرت وسائل إعلام تركية في الثالث من فبراير 2020 مقطع الفيديو وذكرت أنه يظهر قصفا,نشرت وسائل إعلام تركية في الثالث من فبراير 2020 مقطع الفيديو وذكرت أنه يظهر قصفا مدفعيا مكثفا نفذته قوات النظام السوري في إدلب وأشارت التقارير إلى أن تبادل القصف أسفر عن مقتل أربعة جنود أتراك وإصابة تسعة آخرين اقرأ أكثر,Fake
65,2024-11-30,AJPalestine,عاجل | يديعوت أحرونوت عن مصادر,عاجل | يديعوت أحرونوت عن مصادر: المؤسسة الأمنية تعتقد أن إسرائيل وصلت لمرحلة يمكنها فيها إنهاء حرب غزة وإعادة الأسرى,Real
66,2024-11-27,Misbar,وسائل إعلام عبرية نشرت الصورة المتداولة في 8 أكتوبر 2023 وتظهر انفجارا في مدينة,وسائل إعلام عبرية نشرت الصورة المتداولة في 8 أكتوبر 2023 وتظهر انفجارا في مدينة ريشون لتسيون جنوب بعد سقوط صواريخ أطلقتها المقاومة الفلسطينية من قطاع عقب عملية طوفان الأقصى اقرأ أكثر,Fake
67,2024-11-16,AJPalestine,عاجل | مراسل #الجزيرة,عاجل | مراسل #الجزيرة: إطلاق ١٠ صواريخ من جنوب #لبنان باتجاه الجليل الغربي,Real
68,2024-11-29,AJPalestine,عاجل | الأمين العام لحزب الله,عاجل | الأمين العام لحزب الله: نشكر #إيران قيادة وشعبا والقائد خامنئي الذي يرعى ويدعو ويؤيد وحرس الثورة الإسلامية,Real
69,2024-11-09,AJPalestine,"انتقد وزير الداخلية الفرنسي برونو ريتيلو رفع لافتة مكتوب عليها ""الحرية","انتقد وزير الداخلية الفرنسي برونو ريتيلو رفع لافتة مكتوب عليها ""الحرية لفلسطين"" خلال مباراة لفريق باريس سان جيرمان بدوري أبطال أوروبا قائلا إنها ""غير مقبولة"". وعندما سُئل ريتيللو عما إذا كان سيسعى إلى فرض عقوبات على النادي الفرنسي، قال: ""لا أستبعد أي شيء، سأطالب باريس سان جيرمان بتوضيحات"". #حرب_غزة",Real
70,2024-12-20,Misbar,توغلات إسرائيلية مستمرة بالأراضي السورية ضمن أكبر وأنجح عملية جوية اعتبرها جيش ا,توغلات إسرائيلية مستمرة بالأراضي السورية ضمن أكبر وأنجح عملية جوية اعتبرها جيش الاحتلال في تاريخه والأمم المتحدة تندد ضمن تغطية لآخر التطورات السورية العديد من الادعاءات المضللة والزائفة رصدها حول الأمر نقدم لكم أبرزها في هذا المقال,Fake
71,2024-11-03,AJPalestine,عاجل | القناة 12 الإسرائيلية عن مصدر أمني كبير,عاجل | القناة 12 الإسرائيلية عن مصدر أمني كبير: حان الوقت لنكون واقعيين وننهي حرب غزة ونبرم اتفاق تبادل يضمن مصالحنا,Real
72,2024-11-03,AJPalestine,عاجل | الشرطة الإسرائيلية,عاجل | الشرطة الإسرائيلية: نقوم بعمليات تمشيط في منطقة حيفا بحثا عن مواقع سقوط صواريخ أو شظايا اعتراض,Real
73,2024-11-05,Misbar,الصورة الأولى هي لقطة شاشة من فيديو نشرته وسائل إعلام إسرائيلية بتاريخ 9 ديسمبر,الصورة الأولى هي لقطة شاشة من فيديو نشرته وسائل إعلام إسرائيلية بتاريخ 9 ديسمبر 2023 أما الصورة الثانية فهي لفلسطينيين اعتقلتهم القوات الإسرائيلية في بتاريخ 10 ديسمبر 2023 اقرأ أكثر عبر تحقيق,Fake
74,2024-12-08,Misbar,الفيديو منشور على يوتيوب منذ يونيو 2014 على أنه يظهر استهداف فصائل معارضة لقوات,الفيديو منشور على يوتيوب منذ يونيو 2014 على أنه يظهر استهداف فصائل معارضة لقوات في حي الوعر في ريف خلال اشتباكات بين الطرفين حينها تفاصيل أوفى,Fake
75,2024-11-25,AJPalestine,عاجل | الجيش الإسرائيلي,عاجل | الجيش الإسرائيلي: استهدفنا محور نقل إيرانيا للوسائل القتالية يمر عبر الأراضي السورية إلى #حزب_الله والوحدة 4400,Real
76,2024-11-10,AJPalestine,أكثر من 41 شهيدا في قصف على شمال قطاع #غزة، والقسـ.ـام تقول إنها أجهزت,أكثر من 41 شهيدا في قصف على شمال قطاع #غزة، والقسـ.ـام تقول إنها أجهزت على 15 جنديا إسرائيليا من المسافة صفر في بيت لاهيا الخبر في قصة بـ #إيجاز #حرب_غزة,Real
77,2024-11-24,AJPalestine,عاجل | هيئة البث عن مسؤول إسرائيلي,عاجل | هيئة البث عن مسؤول إسرائيلي: نتنياهو حول محوري فيلادلفيا ونتساريم لعقبة أمام وقف النار بسبب سموتريتش وبن غفير,Real
